card,ticker,name,sector,industry,reit,payout_yf,eps,div_rate,payout_own,verdict
13,IRM,Iron Mountain,Real Estate,REIT - Specialty,True,2.395,1.42,3.46,2.4366197183098595,PASS
13,PBA,Pembina Pipeline,Energy,Oil & Gas Midstream,False,1.0088,2.06,2.09,1.0145631067961165,PASS
13,HUM,Humana,Healthcare,Healthcare Plans,False,0.3346,10.57,3.54,0.33491012298959316,FAIL
13,EXR,Extra Space Storage,Real Estate,REIT - Industrial,True,1.4305,4.54,6.48,1.4273127753303965,PASS
14,PG,P&G,Consumer Defensive,Household & Personal Products,False,0.6433,6.63,4.35,0.6561085972850679,PASS
14,CVX,Chevron,Energy,Oil & Gas Integrated,False,0.6718,10.39,7.12,0.6852743022136669,PASS
14,RBA,RB Global,Industrials,Specialty Business Services,False,0.5345,2.32,1.32,0.5689655172413793,PASS
14,EL,Ester Lauder,Consumer Defensive,Household & Personal Products,False,2.8,0.5,1.4,2.8,PASS
14,VICI,VICI Properties,Real Estate,REIT - Diversified,True,0.69769996,2.58,1.8,0.6976744186046512,PASS
15,KMB,Kimberly-Clark,Consumer Defensive,Household & Personal Products,False,1.0040001,5.06,5.12,1.0118577075098816,PASS
15,NRG,NRG Energy,Utilities,Utilities - Independent Power Producers,False,0.4766,3.83,1.9,0.4960835509138381,FAIL
15,NTR,Nutrien,Basic Materials,Agricultural Inputs,False,0.4433,4.94,2.2,0.44534412955465585,FAIL
15,FTS,Fortis,Utilities,Utilities - Regulated Electric,False,0.7456,2.46,1.85,0.7520325203252033,PASS
15,SRE,Sempra,Utilities,Utilities - Diversified,False,0.7551,3.45,2.63,0.7623188405797101,PASS
16,SBUX,Starbucks,Consumer Cyclical,Restaurants,False,1.4277,1.73,2.48,1.4335260115606936,PASS
16,MO,Altria,Consumer Defensive,Tobacco,False,0.8926,4.75,4.24,0.8926315789473684,PASS
16,PEP,PepsiCo,Consumer Defensive,Beverages - Non-Alcoholic,False,0.7533,7.63,5.92,0.7758846657929227,PASS
16,MCD,McDonald's,Consumer Cyclical,Restaurants,False,0.5971,12.3,7.44,0.6048780487804878,PASS
16,WMB,Williams Cos,Energy,Oil & Gas Midstream,False,0.8167,2.51,2.1,0.8366533864541834,PASS
17,CL,Colgate-Palmolive,Consumer Defensive,Household & Personal Products,False,0.8228,2.54,2.12,0.8346456692913387,PASS
17,FDX,FedEx,Industrials,Integrated Freight & Logistics,False,0.3127,18.56,4.88,0.2629310344827586,FAIL
17,ABT,Abbott Labs,Healthcare,Medical Devices,False,0.7896,3.09,2.52,0.8155339805825244,PASS
17,BDX,Becton Dickinson,Healthcare,Medical Instruments & Supplies,False,0.7249,5.78,4.2,0.726643598615917,PASS
17,BNS,Scotiabank,Financial Services,Banks - Diversified,False,0.6069,5.25,3.23,0.6152380952380953,PASS
18,MDT,Medtronic,Healthcare,Medical Devices,False,0.7614,3.73,2.88,0.7721179624664879,PASS
18,BN,Brookfield,Financial Services,Asset Management,False,0.48150003,0.54,0.28,0.5185185185185185,FAIL
18,ACN,Accenture,Technology,Information Technology Services,False,0.5088,12.52,6.52,0.5207667731629393,PASS
18,OKE,ONEOK,Energy,Oil & Gas Midstream,False,0.72540003,5.79,4.28,0.7392055267702936,PASS
18,ROK,Rockwell Automation,Industrials,Specialty Industrial Machinery,False,0.5103,10.66,5.52,0.5178236397748592,PASS
19,CVE,Cenovus Energy,Energy,Oil & Gas Integrated,False,0.22780001,2.61,0.62,0.23754789272030652,FAIL
19,PLD,Prologis,Real Estate,REIT - Industrial,True,0.9265,4.5,4.28,0.9511111111111111,PASS
19,AMT,American Tower,Real Estate,REIT - Specialty,True,0.9601,7.28,6.98,0.9587912087912088,PASS
19,PSX,Philips 66,Energy,Oil & Gas Refining & Marketing,False,2.2557,2.19,5.08,2.319634703196347,PASS
20,NKE,Nike,Consumer Cyclical,Footwear & Accessories,False,0.77620006,2.1,1.64,0.7809523809523808,PASS
20,GLW,Corning,Technology,Electronic Components,False,0.5161,2.17,1.12,0.5161290322580646,PASS
20,ADM,Archer Daniels Midland,Consumer Defensive,Farm Products,False,0.5628,3.66,2.08,0.5683060109289617,PASS
20,MPLX,MPLX,Energy,Oil & Gas Midstream,False,0.90019995,4.65,4.31,0.9268817204301074,PASS
20,ARES,Ares Management,Financial Services,Asset Management,False,2.2661,2.18,5.4,2.477064220183486,PASS
